DATE,Price,Mrate,CPI,Days,Lumber,CPInumber,Permits
7/1/2016,117,3.4400000000000000,0.86836,57,204.8,240.101,13616.48541
8/1/2016,116,3.4350000000000000,1.05532,58,206.3,240.545,13554.347038293401
9/1/2016,116,3.4600000000000000,1.54864,61,205.4,241.176,14770.81768
10/1/2016,116,3.4700000000000000,1.68592,66,204.9,241.741,12348.698459018999
11/1/2016,116,3.7700000000000000,1.68433,67,203.5,242.026,14011.1595
12/1/2016,115,4.1980000000000000,2.0508,75,203.1,242.637,12867.852219931001
1/1/2017,116,4.1500000000000000,2.51039,79,203.1,243.618,15885.99894
2/1/2017,117,4.1675000000000000,2.81036,68,210.1,244.006,14455.08727
3/1/2017,119,4.1960000000000000,2.4412,54,211.8,243.892,15654.94366
4/1/2017,120,4.0450000000000000,2.17622,52,215.9,244.193,13844.25166
5/1/2017,121,4.0100000000000000,1.85634,51,218.3,244.004,14356.08331
6/1/2017,121,3.9040000000000000,1.64057,52,216.1,244.163,14732.949377191599
7/1/2017,121,3.9675000000000000,1.72511,53,216.9,244.243,12169.554405496201
8/1/2017,120,3.8800000000000000,1.92812,57,222.1,245.183,14834.31818
9/1/2017,120,3.8050000000000000,2.18057,64,220.7,246.435,13259.083384874499
10/1/2017,120,3.8950000000000000,2.02076,68,223.6,246.626,15461.95186
11/1/2017,121,3.9220000000000000,2.17249,67,224.6,247.284,14194.894439253701
12/1/2017,121,3.9500000000000000,2.12993,72,223.6,247.805,12653.117220414098
1/1/2018,121,4.0325000000000000,2.15132,78,225.3,248.859,15446.38404
2/1/2018,122,4.3300000000000000,2.26347,69,237,249.529,13429.18181
3/1/2018,124,4.4440000000000000,2.33095,53,240.3,249.577,14469.27083
4/1/2018,126,4.4675000000000000,2.471,50,238.4,250.227,20034.03138
5/1/2018,127,4.5860000000000000,2.78192,48,249.3,250.792,15471.175260988799
6/1/2018,127,4.5700000000000000,2.80755,50,254.5,251.018,16426.95349
7/1/2018,127,4.5275000000000000,2.85412,52,248,251.214,15828.23585
8/1/2018,126,4.5500000000000000,2.64292,55,231.7,251.663,14567.539570673898
9/1/2018,126,4.6275000000000000,2.33206,60,228,252.182,14715.13996
10/1/2018,126,4.8300000000000000,2.49203,65,214.2,252.772,13428.779803386102
11/1/2018,126,4.8660000000000000,2.14733,66,209.2,252.594,16425.27175
12/1/2018,126,4.6375000000000000,2.00238,72,211.2,252.767,16746.697644455402
1/1/2019,126,4.4640000000000000,1.48759,77,210,252.561,14147.72343
2/1/2019,128,4.3700000000000000,1.51886,67,215.8,253.319,16168.71171
3/1/2019,129,4.2650000000000000,1.88319,59,213.5,254.277,14655.118138791599
4/1/2019,131,4.1425000000000000,2.00058,52,212.6,255.233,15840.046297256398
5/1/2019,132,4.0720000000000000,1.79591,52,210.8,255.296,18209.78535
6/1/2019,132,3.8025000000000000,1.67119,53,205.6,255.213,13275.358557367901
7/1/2019,131,3.7650000000000000,1.82633,54,209.9,255.802,16921.19483
8/1/2019,131,3.6160000000000000,1.73764,56,208.9,256.036,18258.41709
9/1/2019,131,3.6050000000000000,1.6845,59,210.9,256.43,18186.63308
10/1/2019,131,3.6880000000000000,1.73397,62,208.6,257.155,20021.46691
11/1/2019,131,3.6950000000000000,2.09229,65,208.3,257.879,18484.63124
12/1/2019,131,3.7200000000000000,2.31953,71,210,258.63,16277.12119
1/1/2020,131,3.6240000000000000,2.51226,75,209.6,258.906,17694.41131
2/1/2020,132,3.4650000000000000,2.33974,65,215.2,259.246,18070.03747
3/1/2020,133,3.4500000000000000,1.52314,53,222.1,258.15,17763.22837
4/1/2020,134,3.3060000000000000,0.34988,58,204.5,256.126,16137.25496
5/1/2020,137,3.2325000000000000,0.21622,64,211,255.848,15441.784244336499
6/1/2020,139,3.1625000000000000,0.70177,58,225.1,257.004,15607.93732
7/1/2020,140,3.0160000000000000,1.01876,53,241.1,258.408,19396.00352
8/1/2020,141,2.9350000000000000,1.3006,52,270.2,259.366,17467.97264
9/1/2020,143,2.8900000000000000,1.37308,54,322,259.951,23663.12704
10/1/2020,144,2.8340000000000000,1.20317,54,301.3,260.249,19096.39608
11/1/2020,145,2.7650000000000000,1.16954,56,264.2,260.895,20280.17535
12/1/2020,145,2.6840000000000000,1.30495,60,291.5,262.005,22682.532911244904
1/1/2021,145,2.7350000000000000,1.3951,61,329.9,262.518,22118.103138047598
2/1/2021,147,2.8100000000000000,1.67293,51,343.9,263.583,20043.17763
3/1/2021,150,3.0825000000000000,2.61863,48,365.8,264.91,21746.075194836798
4/1/2021,154,3.0600000000000000,4.14874,39,390.3,266.752,23280.297553319102
5/1/2021,158,2.9625000000000000,4.92636,36,462,268.452,21303.77486
6/1/2021,162,2.9750000000000000,5.31509,35,444.3,270.664,21230.853406711798
7/1/2021,165,2.8680000000000000,5.25758,33,334.813,271.994,19702.69526
8/1/2021,165,2.8425000000000000,5.17531,36,283.26,272.789,21849.99553
9/1/2021,167,2.9000000000000000,5.36101,41,275.379,273.887,19761.33287
10/1/2021,167,3.0675000000000000,6.21904,45,288.295,276.434,17626.23325
11/1/2021,168,3.0675000000000000,6.86253,48,299.073,278.799,21029.53883
12/1/2021,169,3.0980000000000000,7.17658,51,346.95,280.808,22936.137515617702
1/1/2022,169,3.4450000000000000,7.56977,58,404.213,282.39,23161.40593
2/1/2022,171,3.7625000000000000,7.94892,40,422.316,284.535,22323.651588372402
3/1/2022,176,4.1720000000000000,8.54743,36,444.946,287.553,24613.6026
4/1/2022,181,4.9825000000000000,8.25186,31,384.474,288.764,24397.085821176403
5/1/2022,190,5.2300000000000000,8.533,29,394.751,291.359,22539.09243
6/1/2022,193,5.5220000000000000,8.98974,29,318.471,294.996,23423.24072
7/1/2022,193,5.4125000000000000,8.44982,32,319.231,294.977,22812.27185
8/1/2022,190,5.2225000000000000,8.21881,39,307.332,295.209,19387.235187438302
9/1/2022,189,6.1120000000000000,8.19827,47,292.178,296.341,21245.02765
10/1/2022,187,6.9000000000000000,7.75194,51,282.917,297.863,20584.70046
11/1/2022,185,6.8050000000000000,7.11947,55,276.495,298.648,18186.591456206297
12/1/2022,183,6.3640000000000000,6.4115,65,264.42,298.812,17325.71966
1/1/2023,182,6.2725000000000000,6.36212,71,263.388,300.356,16920.321158166298
2/1/2023,183,6.2575000000000000,5.96552,65,266.869,301.509,18935.457510033502
3/1/2023,185,6.5440000000000000,4.93509,52,263.853,301.744,17484.5278
4/1/2023,188,6.3425000000000000,4.94106,47,261.22,303.032,16453.34472
5/1/2023,190,6.4250000000000000,4.12069,45,261.417,303.365,21512.67228
6/1/2023,191,6.7140000000000000,3.05326,45,257.664,304.003,18243.13817
7/1/2023,190,6.8400000000000000,3.27178,45,272.345,304.628,18026.96411
8/1/2023,189,7.0720000000000000,3.71872,49,255.709,306.187,20046.172562668402
9/1/2023,188,7.2000000000000000,3.69406,51,256.492,307.288,18528.44061
10/1/2023,187,7.6200000000000000,3.24579,54,246.437,307.531,20034.7561
11/1/2023,186,7.4420000000000000,3.13948,58,240.351,308.024,18239.00609
12/1/2023,185,6.8150000000000000,3.32316,65,244.854,308.742,15817.317
1/1/2024,184,6.6425000000000000,3.10598,71,246.353,309.685,19534.47026
2/1/2024,185,6.7760000000000000,3.16574,61,249.562,311.054,18623.22585
3/1/2024,187,6.8200000000000000,3.47513,50,254.731,312.23,17316.73165
